id,title,department,location,type,salary,description,icon,status,postedDate
job_001,Senior Product Engineer,Engineering,San Francisco / Remote,Full-time,"$160k - $210k","Lead the development of our next-gen AI workspace. You'll work closely with the design team to build highly interactive, performant UI components.",developer_mode,active,2026-04-01
job_002,UI/UX Motion Designer,Design,"London, UK",Contract,"GBP 500 - 700 / day","Help us define the liquid motion language of our brand and shape expressive product moments across the platform.",brush,active,2026-03-28
job_003,Growth Marketing Lead,Marketing,Remote,Full-time,"$140k - $190k","Drive user acquisition and retention through data-led storytelling, experimentation, and lifecycle strategy.",insights,active,2026-04-02
job_004,Product Design Lead,Product,"New York, NY",Full-time,"$170k - $220k","Own the end-to-end vision for our flagship product while mentoring a multidisciplinary design team.",design_services,active,2026-03-27
job_005,Senior Product Designer,Design,"San Francisco, CA",Full-time,"$155k - $195k","Design intuitive AI-powered workflows for creative professionals in high-velocity product teams.",palette,active,2026-04-03
job_006,Data Analyst,Data Science,"Austin, TX",Full-time,"$120k - $150k","Translate growth and hiring data into decision-ready dashboards, forecasts, and business narratives.",monitoring,active,2026-03-30
job_007,UX Researcher,Design,Remote,Part-time,"$95k - $120k","Lead mixed-method user research programs that shape onboarding, trust, and retention experiences.",science,active,2026-04-04
job_008,AI Content Strategist,Marketing,"Toronto, CA",Contract,"$80k - $110k","Create and optimize AI-assisted editorial systems across brand, lifecycle, and acquisition channels.",edit_note,active,2026-03-25
job_009,Frontend Platform Engineer,Engineering,"Berlin, DE",Full-time,"EUR 110k - 145k / yearly","Build scalable component infrastructure, developer tooling, and performance systems for product teams.",code,active,2026-03-24
job_010,Partnerships Associate,Business,"Chicago, IL",Full-time,"$90k - $115k","Grow university, mentor, and ecosystem partnerships that feed the Knowledge Factory pipeline.",handshake,closed,2026-03-18
job_011,Backend & AI Systems Engineer,Engineering,"Remote / India",Full-time,"$100k - $140k","Build scalable backend systems and AI-powered applications using Python, FastAPI, and modern web technologies. Work on Retrieval-Augmented Generation (RAG) systems, API development, and system design. Collaborate with product and frontend teams to deliver high-performance solutions, while contributing to developer platforms and coding ecosystems.",code,active,2026-04-09
